what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407217202954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407217240374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1407217240389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407217244961
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1407217255107
started,bundle,org.eclipse.core.externaltools,1.0.100.v20110506,"org.eclipse.core.externaltools",1407217255214
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.200.v201103311536,"org.eclipse.wst.common.project.facet.ui",1407217264965
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1407217267542
started,bundle,org.eclipse.wst.validation.ui,1.2.204.v201004150700,"org.eclipse.wst.validation.ui",1407217268341
started,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1407217268608
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407217285085
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1407217285117
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407217287743
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407217578090
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407217580524
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407217622167
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407217622647
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407217829676
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407217850353
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407217908219
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1407217908233
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1407217908233
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407217938662
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407217999109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1407218001560
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407218003275
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407218004663
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1407218005336
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1407218006458
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1407218006462
